eventID,occurrenceID,occurrenceStatus,scientificName,scientificNameID,organismQuantity,organismQuantityType,scientificNameAuthorship,taxonomicRank,taxonomicStatus,kingdom,phylum,class,order,family,genus,basisOfRecord,associatedTaxa,associatedOccurrence
IYS:GoA2019:Stn3:trawl,IYS:GoA2019:Stn3:trawl:1-p,present,Oncorhynchus gorbuscha,urn:lsid:marinespecies.org:taxname:127182,1,stomachs,"(Walbaum, 1792)",Species,accepted,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,HumanObservation,NA,
IYS:GoA2019:Stn3:trawl,IYS:GoA2019:Stn3:trawl:1-pr1,present,Pisces,urn:lsid:marinespecies.org:taxname:11676,NA,NA,NA,Superclass,unaccepted,Animalia,Chordata,NA,NA,NA,NA,HumanObservation,"""prey of"" : ""Oncorhynchus gorbuscha""","""prey of"" : ""IYS:GoA2019:Stn3:trawl:1-p"""
IYS:GoA2019:Stn3:trawl,IYS:GoA2019:Stn3:trawl:1-pr2,present,Tomopteris,urn:lsid:marinespecies.org:taxname:129715,NA,NA,"Eschscholtz, 1825",Genus,accepted,Animalia,Annelida,Polychaeta,Phyllodocida,Tomopteridae,Tomopteris,HumanObservation,"""prey of"" : ""Oncorhynchus gorbuscha""","""prey of"" : ""IYS:GoA2019:Stn3:trawl:1-p"""
IYS:GoA2019:Stn3:trawl,IYS:GoA2019:Stn3:trawl:2-p,present,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,1,stomachs,"(Walbaum, 1792)",Species,accepted,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,HumanObservation,NA,
IYS:GoA2019:Stn4:trawl,IYS:GoA2019:Stn4:trawl:1-p,present,Oncorhynchus gorbuscha,urn:lsid:marinespecies.org:taxname:127182,1,stomachs,"(Walbaum, 1792)",Species,accepted,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,HumanObservation,NA,
IYS:GoA2019:Stn4:trawl,IYS:GoA2019:Stn4:trawl:2-p,present,Oncorhynchus gorbuscha,urn:lsid:marinespecies.org:taxname:127182,7,stomachs,"(Walbaum, 1792)",Species,accepted,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,HumanObservation,NA,
IYS:GoA2019:Stn4:trawl,IYS:GoA2019:Stn4:trawl:2-pr1,present,Chuneola major,urn:lsid:marinespecies.org:taxname:431286,NA,NA,"M. Vinogradov, 1957",Species,accepted,Animalia,Arthropoda,Malacostraca,Amphipoda,Chuneolidae,Chuneola,HumanObservation,"""prey of"" : ""Oncorhynchus gorbuscha""","""prey of"" : ""IYS:GoA2019:Stn4:trawl:2-p"""
IYS:GoA2019:Stn4:trawl,IYS:GoA2019:Stn4:trawl:2-pr2,present,Sergestes pacificus,urn:lsid:marinespecies.org:taxname:585590,NA,NA,"Stimpson, 1860",Species,unaccepted,Animalia,Arthropoda,Malacostraca,Decapoda,Sergestidae,Sergestes,HumanObservation,"""prey of"" : ""Oncorhynchus gorbuscha""","""prey of"" : ""IYS:GoA2019:Stn4:trawl:2-p"""
IYS:GoA2019:Stn4:trawl,IYS:GoA2019:Stn4:trawl:2-pr2,present,Sergestes pacificus,urn:lsid:marinespecies.org:taxname:585590,NA,NA,"Stimpson, 1860",Species,unaccepted,Animalia,Arthropoda,Malacostraca,Decapoda,Sergestidae,Sergestes,HumanObservation,"""prey of"" : ""Oncorhynchus gorbuscha""","""prey of"" : ""IYS:GoA2019:Stn4:trawl:2-p"""
IYS:GoA2019:Stn4:trawl,IYS:GoA2019:Stn4:trawl:2-pr3,present,Euphausia pacifica,urn:lsid:marinespecies.org:taxname:237851,NA,NA,"Hansen, 1911",Species,accepted,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,HumanObservation,"""prey of"" : ""Oncorhynchus gorbuscha""","""prey of"" : ""IYS:GoA2019:Stn4:trawl:2-p"""
