occurrenceID,measurementID,measurementType,measurementTypeID,measurementValue,measurementUnit,measurementUnitID,measurementMethod
IYS:GoA2019:Stn3:trawl:1-p,IYS:GoA2019:Stn3:trawl:1-p-Comparative Feeding Index (CFI),Comparative Feeding Index (CFI), ,0.38860103626943004,percent,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/,NA
IYS:GoA2019:Stn3:trawl:1-p,IYS:GoA2019:Stn3:trawl:1-p-Forklength,Forklength,http://vocab.nerc.ac.uk/collection/P01/current/FL01XX01/,36,centimeter,http://vocab.nerc.ac.uk/collection/P06/current/ULCM/,NA
IYS:GoA2019:Stn3:trawl:1-p,IYS:GoA2019:Stn3:trawl:1-p-Gut Fullness Index (GFI),Gut Fullness Index (GFI), ,0.38860103626943004,percent,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/,NA
IYS:GoA2019:Stn3:trawl:1-p,IYS:GoA2019:Stn3:trawl:1-p-Mass,Mass,http://vocab.nerc.ac.uk/collection/P24/current/NMASS/,386,gram,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/,NA
IYS:GoA2019:Stn3:trawl:1-p,IYS:GoA2019:Stn3:trawl:1-p-NA,NA,NA,NA,NA,NA,NA
IYS:GoA2019:Stn3:trawl:1-p,IYS:GoA2019:Stn3:trawl:1-p-Total mass stomach content,Total mass stomach content,http://vocab.nerc.ac.uk/collection/P24/current/NMASS/,1.5,NA,NA,NA
IYS:GoA2019:Stn3:trawl:1-pr1,IYS:GoA2019:Stn3:trawl:1-pr1:Mass digested prey,Mass digested prey,http://vocab.nerc.ac.uk/collection/P24/current/NMASS/,1.2,gram,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/,NA
IYS:GoA2019:Stn3:trawl:1-pr2,IYS:GoA2019:Stn3:trawl:1-pr2:Mass digested prey,Mass digested prey,http://vocab.nerc.ac.uk/collection/P24/current/NMASS/,0.3,gram,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/,NA
IYS:GoA2019:Stn3:trawl:2-p,IYS:GoA2019:Stn3:trawl:2-p-Comparative Feeding Index (CFI),Comparative Feeding Index (CFI), ,0,percent,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/,NA
IYS:GoA2019:Stn3:trawl:2-p,IYS:GoA2019:Stn3:trawl:2-p-Forklength,Forklength,http://vocab.nerc.ac.uk/collection/P01/current/FL01XX01/,39.1,centimeter,http://vocab.nerc.ac.uk/collection/P06/current/ULCM/,NA
IYS:GoA2019:Stn3:trawl:2-p,IYS:GoA2019:Stn3:trawl:2-p-Gut Fullness Index (GFI),Gut Fullness Index (GFI), ,0,percent,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/,NA
IYS:GoA2019:Stn3:trawl:2-p,IYS:GoA2019:Stn3:trawl:2-p-Mass,Mass,http://vocab.nerc.ac.uk/collection/P24/current/NMASS/,647,gram,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/,NA
IYS:GoA2019:Stn3:trawl:2-p,IYS:GoA2019:Stn3:trawl:2-p-NA,NA,NA,NA,NA,NA,NA
IYS:GoA2019:Stn3:trawl:2-p,IYS:GoA2019:Stn3:trawl:2-p-Total mass stomach content,Total mass stomach content,http://vocab.nerc.ac.uk/collection/P24/current/NMASS/,0,NA,NA,NA
IYS:GoA2019:Stn4:trawl:1-p,IYS:GoA2019:Stn4:trawl:1-p-Comparative Feeding Index (CFI),Comparative Feeding Index (CFI), ,0,percent,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/,NA
IYS:GoA2019:Stn4:trawl:1-p,IYS:GoA2019:Stn4:trawl:1-p-Forklength,Forklength,http://vocab.nerc.ac.uk/collection/P01/current/FL01XX01/,28.3,centimeter,http://vocab.nerc.ac.uk/collection/P06/current/ULCM/,NA
IYS:GoA2019:Stn4:trawl:1-p,IYS:GoA2019:Stn4:trawl:1-p-Gut Fullness Index (GFI),Gut Fullness Index (GFI), ,0,percent,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/,NA
IYS:GoA2019:Stn4:trawl:1-p,IYS:GoA2019:Stn4:trawl:1-p-Mass,Mass,http://vocab.nerc.ac.uk/collection/P24/current/NMASS/,190,gram,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/,NA
IYS:GoA2019:Stn4:trawl:1-p,IYS:GoA2019:Stn4:trawl:1-p-NA,NA,NA,NA,NA,NA,NA
IYS:GoA2019:Stn4:trawl:1-p,IYS:GoA2019:Stn4:trawl:1-p-Total mass stomach content,Total mass stomach content,http://vocab.nerc.ac.uk/collection/P24/current/NMASS/,0,NA,NA,NA
IYS:GoA2019:Stn4:trawl:2-p,IYS:GoA2019:Stn4:trawl:2-p-Comparative Feeding Index (CFI),Comparative Feeding Index (CFI), ,0.20604395604395603,percent,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/,NA
IYS:GoA2019:Stn4:trawl:2-p,IYS:GoA2019:Stn4:trawl:2-p-Gut Fullness Index (GFI),Gut Fullness Index (GFI), ,1.4423076923076923,percent,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/,NA
IYS:GoA2019:Stn4:trawl:2-p,IYS:GoA2019:Stn4:trawl:2-p-Mean Forklength,Mean Forklength,http://vocab.nerc.ac.uk/collection/P01/current/FL01XX01/,35.1,centimeter,http://vocab.nerc.ac.uk/collection/P06/current/ULCM/,measurementValue represents the mean
IYS:GoA2019:Stn4:trawl:2-p,IYS:GoA2019:Stn4:trawl:2-p-Mean Mass,Mean Mass,http://vocab.nerc.ac.uk/collection/P24/current/NMASS/,416,gram,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/,measurementValue represents the mean
IYS:GoA2019:Stn4:trawl:2-p,IYS:GoA2019:Stn4:trawl:2-p-NA,NA,NA,NA,NA,NA,NA
IYS:GoA2019:Stn4:trawl:2-p,IYS:GoA2019:Stn4:trawl:2-p-Total mass stomach content,Total mass stomach content,http://vocab.nerc.ac.uk/collection/P24/current/NMASS/,6,NA,NA,NA
IYS:GoA2019:Stn4:trawl:2-pr1,IYS:GoA2019:Stn4:trawl:2-pr1:Mass digested prey,Mass digested prey,http://vocab.nerc.ac.uk/collection/P24/current/NMASS/,1.5,gram,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/,NA
IYS:GoA2019:Stn4:trawl:2-pr2,IYS:GoA2019:Stn4:trawl:2-pr2:Mass digested prey,Mass digested prey,http://vocab.nerc.ac.uk/collection/P24/current/NMASS/,1.8,gram,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/,NA
IYS:GoA2019:Stn4:trawl:2-pr3,IYS:GoA2019:Stn4:trawl:2-pr3:Mass digested prey,Mass digested prey,http://vocab.nerc.ac.uk/collection/P24/current/NMASS/,0.3,gram,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/,NA
IYS:GoA2019:Stn4:trawl:2-pr4,IYS:GoA2019:Stn4:trawl:2-pr4:Mass digested prey,Mass digested prey,http://vocab.nerc.ac.uk/collection/P24/current/NMASS/,2.4,gram,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/,NA
IYS:GoA2019:Stn5:trawl:1-p,IYS:GoA2019:Stn5:trawl:1-p-Comparative Feeding Index (CFI),Comparative Feeding Index (CFI), ,0.5303970223325063,percent,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/,NA
IYS:GoA2019:Stn5:trawl:1-p,IYS:GoA2019:Stn5:trawl:1-p-Gut Fullness Index (GFI),Gut Fullness Index (GFI), ,1.0607940446650126,percent,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/,NA
IYS:GoA2019:Stn5:trawl:1-p,IYS:GoA2019:Stn5:trawl:1-p-Mean Forklength,Mean Forklength,http://vocab.nerc.ac.uk/collection/P01/current/FL01XX01/,34.8,centimeter,http://vocab.nerc.ac.uk/collection/P06/current/ULCM/,measurementValue represents the mean
IYS:GoA2019:Stn5:trawl:1-p,IYS:GoA2019:Stn5:trawl:1-p-Mean Mass,Mean Mass,http://vocab.nerc.ac.uk/collection/P24/current/NMASS/,403,gram,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/,measurementValue represents the mean
IYS:GoA2019:Stn5:trawl:1-p,IYS:GoA2019:Stn5:trawl:1-p-NA,NA,NA,NA,NA,NA,NA
IYS:GoA2019:Stn5:trawl:1-p,IYS:GoA2019:Stn5:trawl:1-p-Total mass stomach content,Total mass stomach content,http://vocab.nerc.ac.uk/collection/P24/current/NMASS/,4.275,NA,NA,NA
IYS:GoA2019:Stn5:trawl:1-pr1,IYS:GoA2019:Stn5:trawl:1-pr1:Mass digested prey,Mass digested prey,http://vocab.nerc.ac.uk/collection/P24/current/NMASS/,1.08,gram,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/,NA
IYS:GoA2019:Stn5:trawl:1-pr2,IYS:GoA2019:Stn5:trawl:1-pr2:Mass digested prey,Mass digested prey,http://vocab.nerc.ac.uk/collection/P24/current/NMASS/,1.8,gram,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/,NA
IYS:GoA2019:Stn5:trawl:1-pr3,IYS:GoA2019:Stn5:trawl:1-pr3:Mass digested prey,Mass digested prey,http://vocab.nerc.ac.uk/collection/P24/current/NMASS/,1.35,gram,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/,NA
IYS:GoA2019:Stn5:trawl:1-pr4,IYS:GoA2019:Stn5:trawl:1-pr4:Mass digested prey,Mass digested prey,http://vocab.nerc.ac.uk/collection/P24/current/NMASS/,0.045,gram,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/,NA
IYS:GoA2019:Stn5:trawl:2-p,IYS:GoA2019:Stn5:trawl:2-p-Comparative Feeding Index (CFI),Comparative Feeding Index (CFI), ,3.0193236714975846,percent,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/,NA
IYS:GoA2019:Stn5:trawl:2-p,IYS:GoA2019:Stn5:trawl:2-p-Gut Fullness Index (GFI),Gut Fullness Index (GFI), ,6.038647342995169,percent,http://vocab.nerc.ac.uk/collection/P06/current/UPCT/,NA
