eventID,eventDate,footprintWKT,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,maximumDepthInMeters,minimumDepthInMeters,geodeticDatum,samplingProtocol,sampleSizeValue,sampleSizeUnit,year,month,day
IYS:GoA2019:Stn1:trawl,2019-02-19T00:02:00Z/2019-02-19T01:02:00Z,"LINESTRING ( -128.308 48.177 , -128.266 48.147 )",48.16200193792077,-128.28699387761898,2285.263200639685,39,0,WGS84,midwater trawl,60,minutes,2019,2,19
IYS:GoA2019:Stn2:trawl,2019-02-19T10:00:00Z/2019-02-19T11:00:00Z,"LINESTRING ( -129.553 48.1 , -129.558 48.06 )",48.080000062173816,-129.55550096900302,2231.6253772704827,38.2,0,WGS84,midwater trawl,60,minutes,2019,2,19
IYS:GoA2019:Stn3:trawl,2019-02-21T11:21:00Z/2019-02-21T12:21:00Z,"LINESTRING ( -137.012 47.382 , -137.039 47.343 )",47.36250082829213,-137.02550497462644,2395.843031841346,39.5,0,WGS84,midwater trawl,60,minutes,2019,2,21
IYS:GoA2019:Stn4:trawl,2019-02-21T22:19:00Z/2019-02-21T23:19:00Z,"LINESTRING ( -138.259 47.399 , -138.194 47.41 )",47.40450460936539,-138.22650338282256,2528.166331472088,41.7,0,WGS84,midwater trawl,60,minutes,2019,2,21
IYS:GoA2019:Stn5:trawl,2019-02-22T09:49:00Z/2019-02-22T10:49:00Z,"LINESTRING ( -139.583 47.397 , -139.522 47.401 )",47.399004057598276,-139.5525011541946,2313.094677628389,38.7,0,WGS84,midwater trawl,60,minutes,2019,2,22
IYS:GoA2019:Stn6:trawl,2019-02-22T20:55:00Z/2019-02-22T21:55:00Z,"LINESTRING ( -141.31 47.38 , -141.339 47.347 )",47.3635009409576,-141.32450452125812,2136.5531025294194,39,0,WGS84,midwater trawl,60,minutes,2019,2,22
IYS:GoA2019:Stn7:trawl,2019-02-23T06:08:00Z/2019-02-23T07:08:00Z,"LINESTRING ( -143.027 47.391 , -143.09 47.376 )",47.38350433279184,-143.0585044677046,2520.4896646115476,40,0,WGS84,midwater trawl,60,minutes,2019,2,23
IYS:GoA2019:Stn8:trawl,2019-02-23T14:38:00Z/2019-02-23T15:38:00Z,"LINESTRING ( -144.326 47.406 , -144.387 47.407 )",47.40650405717677,-144.35649971137528,2302.726631170098,38.2,0,WGS84,midwater trawl,60,minutes,2019,2,23
IYS:GoA2019:Stn9:trawl,2019-02-23T23:12:00Z/2019-02-24T00:12:00Z,"LINESTRING ( -146.016 47.407 , -146.081 47.407 )",47.40700460667918,-146.0485,2452.986791453357,39.8,0,WGS84,midwater trawl,60,minutes,2019,2,23
IYS:GoA2019:Stn10:trawl,2019-02-24T07:40:00Z/2019-02-24T08:40:00Z,"LINESTRING ( -147.316 47.413 , -147.374 47.435 )",47.42400367831019,-147.34499395882378,2506.6913464536046,38,0,WGS84,midwater trawl,60,minutes,2019,2,24
IYS:GoA2019:Stn11:trawl,2019-02-24T16:48:00Z/2019-02-24T17:48:00Z,"LINESTRING ( -147.371 48.412 , -147.349 48.445 )",48.428500549516635,-147.36000356095806,2007.2617970626354,37,0,WGS84,midwater trawl,60,minutes,2019,2,24
IYS:GoA2019:Stn12:trawl,2019-02-25T01:48:00Z/2019-02-25T02:48:00Z,"LINESTRING ( -147.309 49.411 , -147.356 49.43 )",49.42050239565048,-147.33249546358027,2005.8454362728444,38.3,0,WGS84,midwater trawl,60,minutes,2019,2,25
IYS:GoA2019:Stn13:trawl,2019-02-25T11:05:00Z/2019-02-25T12:05:00Z,"LINESTRING ( -147.312 50.411 , -147.363 50.438 )",50.42450280990967,-147.33749275072105,2353.464029591373,40,0,WGS84,midwater trawl,60,minutes,2019,2,25
IYS:GoA2019:Stn14:trawl,2019-02-25T19:55:00Z/2019-02-25T20:55:00Z,"LINESTRING ( -147.322 51.416 , -147.372 51.45 )",51.433002690363736,-147.34699072139048,2569.013144332002,39.8,0,WGS84,midwater trawl,60,minutes,2019,2,25
IYS:GoA2019:Stn15:trawl,2019-02-26T04:07:00Z/2019-02-26T05:07:00Z,"LINESTRING ( -147.307 52.418 , -147.315 52.464 )",52.44100011263057,-147.31099791707908,2573.755075770616,39.3,0,WGS84,midwater trawl,60,minutes,2019,2,26
IYS:GoA2019:Stn16:trawl,2019-02-26T12:15:00Z/2019-02-26T13:15:00Z,"LINESTRING ( -147.298 53.419 , -147.307 53.462 )",53.440500123681446,-147.302497728361,2411.4455385899246,39.7,0,WGS84,midwater trawl,60,minutes,2019,2,26
IYS:GoA2019:Stn17:trawl,2019-02-26T20:13:00Z/2019-02-26T21:13:00Z,"LINESTRING ( -147.302 54.415 , -147.302 54.455 )",54.435000033315404,-147.302,2226.261779730983,38.7,0,WGS84,midwater trawl,60,minutes,2019,2,26
IYS:GoA2019:Stn18:trawl,2019-02-27T05:10:00Z/2019-02-27T06:10:00Z,"LINESTRING ( -147.3 55.417 , -147.3 55.465 )",55.441000047374196,-147.3,2671.9591019103227,54.8,0,WGS84,midwater trawl,60,minutes,2019,2,27
IYS:GoA2019:Stn19:trawl,2019-02-28T13:02:00Z/2019-02-27T14:02:00Z,"LINESTRING ( -147.306 56.411 , -147.31 56.452 )",56.43150005020666,-147.30799892388958,2286.000368852406,38.8,0,WGS84,midwater trawl,60,minutes,2019,2,28
IYS:GoA2019:Stn20:trawl,2019-02-27T21:08:00Z/2019-02-27T22:08:00Z,"LINESTRING ( -145.597 56.42 , -145.584 56.463 )",56.44150020768497,-145.59050366935566,2427.3592382131746,35.8,0,WGS84,midwater trawl,60,minutes,2019,2,27
